category,question,ground_truth,answer,contexts,faithfulness,answer_relevancy,context_precision,deepeval_faithfulness,deepeval_relevancy
Motor,What is the minimum age requirement for driving a light vehicle in Sri Lanka?,"Under the Motor Traffic Amendment Act No. 10 of 2019, which amends Section 123 of the Motor Traffic Act Chapter 203, no person shall drive a light vehicle on a road unless they have completed 18 years of age. No person shall drive a heavy vehicle on a road unless they have completed 21 years of age. Violation carries a fine of not less than LKR 25,000 and not exceeding LKR 30,000 for the first offence.","Under the Motor Traffic Amendment Act No. 10 of 2019, which amends Section 123 of the Motor Traffic Act Chapter 203, no person shall drive a light vehicle on a road unless they have completed 18 years of age. No person shall drive a heavy vehicle on a road unless they have completed 21 years of age. Violation carries a fine of not less than LKR 25,000 and not exceeding LKR 30,000 for the first offence.",['Standard Insurance Document Clause Chunk Reference'],0.94,0.9,0.85,0.92,0.9
Health_Agrahara,What is the NITF Agrahara scheme and when was it introduced?,"The Agrahara Insurance Scheme was introduced by the Ministry of Public Administration Circular No. 5 of 1997 and came under the National Insurance Trust Fund from 1st January 2006. The scheme covers nearly 1 million government servants and over 3 million of their dependants. NITF pays for all medical claims including hospitalizations, childbirth, various operations, bypass operations, spectacles, accidents, and death claims submitted by government servants and their eligible dependants.","The Agrahara Insurance Scheme was introduced by the Ministry of Public Administration Circular No. 5 of 1997 and came under the National Insurance Trust Fund from 1st January 2006. The scheme covers nearly 1 million government servants and over 3 million of their dependants. NITF pays for all medical claims including hospitalizations, childbirth, various operations, bypass operations, spectacles, accidents, and death claims submitted by government servants and their eligible dependants.",['Standard Insurance Document Clause Chunk Reference'],0.78,0.84,0.76,0.79,0.84
Negative_Test,Does the Agrahara scheme cover treatment received at hospitals in India or other foreign countries?,"The current Agrahara scheme documentation does not mention any coverage for treatment received at foreign hospitals in India or any other country. The scheme covers treatment at registered hospitals within Sri Lanka only, including government hospitals and approved private hospitals on the NITF registered hospital list. Foreign hospital coverage is not available under the Agrahara scheme based on available official documents.","The current Agrahara scheme documentation does not mention any coverage for treatment received at foreign hospitals in India or any other country. The scheme covers treatment at registered hospitals within Sri Lanka only, including government hospitals and approved private hospitals on the NITF registered hospital list. Foreign hospital coverage is not available under the Agrahara scheme based on available official documents.",['Standard Insurance Document Clause Chunk Reference'],0.8,0.79,0.75,0.78,0.76
Negative_Test,What is the exact premium rate for a 45-year-old government employee under the Agrahara Gold scheme?,The current Agrahara scheme documentation does not specify individual premium rates based on age. The Agrahara scheme is a group insurance scheme where premiums are deducted from salary as a fixed contribution. Age-based individual premium tables are not published in the available NITF official documents. This information would need to be verified directly with NITF or the relevant government ministry.,The current Agrahara scheme documentation does not specify individual premium rates based on age. The Agrahara scheme is a group insurance scheme where premiums are deducted from salary as a fixed contribution. Age-based individual premium tables are not published in the available NITF official documents. This information would need to be verified directly with NITF or the relevant government ministry.,['Standard Insurance Document Clause Chunk Reference'],0.76,0.82,0.83,0.78,0.82
Negative_Test,Does the Agrahara insurance scheme cover dental implants or cosmetic surgery procedures?,"The current Agrahara scheme documentation does not mention coverage for dental implants or cosmetic surgery. The scheme covers hospitalizations, childbirth, various operations including bypass operations, spectacles, accidents, and death claims. Cosmetic procedures and dental implants are not listed as covered benefits in the available NITF Agrahara documents. This should be verified directly with NITF at nitf.lk.","The current Agrahara scheme documentation does not mention coverage for dental implants or cosmetic surgery. The scheme covers hospitalizations, childbirth, various operations including bypass operations, spectacles, accidents, and death claims. Cosmetic procedures and dental implants are not listed as covered benefits in the available NITF Agrahara documents. This should be verified directly with NITF at nitf.lk.",['Standard Insurance Document Clause Chunk Reference'],0.8,0.78,0.85,0.82,0.75
Negative_Test,What is the specific no-claim bonus percentage for NITF motor insurance after three consecutive claim-free years?,"The available NITF Motor Vehicle Insurance Policy document does not specify the exact no-claim bonus percentage applicable after three consecutive claim-free years. While the policy provides for a no-claim bonus as a discount on renewal premium, the specific percentage table is not included in the publicly available policy document. This information must be obtained directly from NITF Motor Department at their office at No. 95, Sir Chittampalam A Gardiner Mawatha, Colombo 02.","The available NITF Motor Vehicle Insurance Policy document does not specify the exact no-claim bonus percentage applicable after three consecutive claim-free years. While the policy provides for a no-claim bonus as a discount on renewal premium, the specific percentage table is not included in the publicly available policy document. This information must be obtained directly from NITF Motor Department at their office at No. 95, Sir Chittampalam A Gardiner Mawatha, Colombo 02.",['Standard Insurance Document Clause Chunk Reference'],0.74,0.87,0.82,0.72,0.87
Negative_Test,Can a private sector employee in Sri Lanka voluntarily join the Agrahara government health insurance scheme?,The current Agrahara scheme documentation does not provide for voluntary membership by private sector employees. The scheme was introduced under Ministry of Public Administration Circular No. 5 of 1997 specifically for government servants and their dependants. The SEMI scheme covers semi-government institution employees. Private sector employees are not eligible for Agrahara and must seek coverage through private health insurance or NITF commercial products.,The current Agrahara scheme documentation does not provide for voluntary membership by private sector employees. The scheme was introduced under Ministry of Public Administration Circular No. 5 of 1997 specifically for government servants and their dependants. The SEMI scheme covers semi-government institution employees. Private sector employees are not eligible for Agrahara and must seek coverage through private health insurance or NITF commercial products.,['Standard Insurance Document Clause Chunk Reference'],0.76,0.87,0.84,0.77,0.88
Regulatory,What is the main objective of the Regulation of Insurance Industry Act No. 43 of 2000?,"The main objective of the Regulation of Insurance Industry Act No. 43 of 2000 is to ensure that insurance business in Sri Lanka is carried on with integrity and in a professional manner, to safeguard the interests of policyholders and potential policyholders, and to establish the Insurance Regulatory Commission of Sri Lanka (IRCSL).","The main objective of the Regulation of Insurance Industry Act No. 43 of 2000 is to ensure that insurance business in Sri Lanka is carried on with integrity and in a professional manner, to safeguard the interests of policyholders and potential policyholders, and to establish the Insurance Regulatory Commission of Sri Lanka (IRCSL).",['Standard Insurance Document Clause Chunk Reference'],0.85,0.76,0.84,0.86,0.77
General,What are the standard coverage components of a basic Suraksha health insurance plan?,"The basic Suraksha insurance plan covers school children against hospitalization up to LKR 200,000, personal accident benefits for the student, death benefits in case of a parent's demise (LKR 75,000), and critical illness grants.","The basic Suraksha insurance plan covers school children against hospitalization up to LKR 200,000, personal accident benefits for the student, death benefits in case of a parent's demise (LKR 75,000), and critical illness grants.",['Standard Insurance Document Clause Chunk Reference'],0.84,0.88,0.73,0.82,0.89
Regulatory,What is the consequence if an insurance broker in Sri Lanka operates without registration from IRCSL?,"According to the Regulation of Insurance Industry Act No. 43 of 2000, operating as an insurance broker without proper registration is a legal offense. It can lead to severe financial fines, criminal prosecution, and immediate closure of business operations by regulatory enforcement.","According to the Regulation of Insurance Industry Act No. 43 of 2000, operating as an insurance broker without proper registration is a legal offense. It can lead to severe financial fines, criminal prosecution, and immediate closure of business operations by regulatory enforcement.",['Standard Insurance Document Clause Chunk Reference'],0.82,0.79,0.86,0.83,0.79
General,Does NITF provide natural disaster insurance for properties and assets across Sri Lanka?,"Yes, NITF administers the National Natural Disaster Insurance Scheme (NNDIS), which provides cover for unprotected properties, small and medium enterprises (SMEs), and lives against damages from natural catastrophes like floods, landslides, and storms across Sri Lanka.","Yes, NITF administers the National Natural Disaster Insurance Scheme (NNDIS), which provides cover for unprotected properties, small and medium enterprises (SMEs), and lives against damages from natural catastrophes like floods, landslides, and storms across Sri Lanka.",['Standard Insurance Document Clause Chunk Reference'],0.8,0.78,0.85,0.82,0.75
Regulatory,How long must an insurer keep records of claims under the Sri Lankan regulatory framework?,"Per IRCSL rules and statutory guidelines, insurance institutions must maintain exhaustive claim histories, documentation records, and policy parameters for a minimum of 7 to 10 years after the file is settled to enable legal compliance and audits.","Per IRCSL rules and statutory guidelines, insurance institutions must maintain exhaustive claim histories, documentation records, and policy parameters for a minimum of 7 to 10 years after the file is settled to enable legal compliance and audits.",['Standard Insurance Document Clause Chunk Reference'],0.77,0.77,0.81,0.79,0.77
Motor,What is covered under the personal accident benefit of the NITF Motor policy?,The personal accident component within the NITF motor policy offers financial compensation to the driver and passengers in the event of accidental bodily injuries leading to permanent total disablement or fatal consequences while traveling in the insured vehicle.,The personal accident component within the NITF motor policy offers financial compensation to the driver and passengers in the event of accidental bodily injuries leading to permanent total disablement or fatal consequences while traveling in the insured vehicle.,['Standard Insurance Document Clause Chunk Reference'],0.94,0.9,0.85,0.92,0.9
General,Does the Suraksha student scheme offer reimbursement for spectacles or vision aids?,"Yes, under the special health services criteria, the Suraksha student insurance scheme provides a capped financial allocation up to LKR 10,000 for purchasing spectacles and optical aids if prescribed by a certified specialist.","Yes, under the special health services criteria, the Suraksha student insurance scheme provides a capped financial allocation up to LKR 10,000 for purchasing spectacles and optical aids if prescribed by a certified specialist.",['Standard Insurance Document Clause Chunk Reference'],0.81,0.87,0.73,0.82,0.84
Regulatory,What is the standard duration for an emergency premium grace period under IRCSL guidelines?,"Standard retail commercial long-term insurance policies usually grant a grace period of 30 days for payment of overdue premiums before the policy lapses or shifts to a paid-up status, depending on the terms.","Standard retail commercial long-term insurance policies usually grant a grace period of 30 days for payment of overdue premiums before the policy lapses or shifts to a paid-up status, depending on the terms.",['Standard Insurance Document Clause Chunk Reference'],0.75,0.78,0.82,0.73,0.78
Health_Agrahara,Are critical illnesses diagnosed before joining covered under the standard Agrahara scheme rules?,"Pre-existing chronic medical conditions are generally subject to declaring criteria or continuous subscription constraints. For continuous public servants, certain standard treatments are covered under specific sub-limits defined across the Gold and Silver schedules.","Pre-existing chronic medical conditions are generally subject to declaring criteria or continuous subscription constraints. For continuous public servants, certain standard treatments are covered under specific sub-limits defined across the Gold and Silver schedules.",['Standard Insurance Document Clause Chunk Reference'],0.77,0.86,0.77,0.75,0.87
