question,answer,ground_truth,category
Does the Agrahara scheme cover specialized surgery such as heart surgery or kidney transplant?,"The Agrahara scheme does cover specialized surgery such as heart surgery or kidney transplant, as indicated by the application form for getting a guarantee for these surgeries. 
The maximum amount covered for private hospital room charges varies by scheme, with the Gold Scheme covering up to LKR 80,000.00, the Silver Scheme covering up to LKR 50,000.00, and another scheme covering up to LKR 30,000.00. 
According to the Gurranty Application Agrahara(e).pdf, the application form is for getting a guarantee for heart surgery, kidney transplant surgery, and brain surgery, which suggests that these specialized surgeries are covered under the Agrahara scheme, and the National Insurance Trust Fund agrahara gold.pdf and National Insurance Trust Fund agrahara-silver.pdf documents provide the specific coverage limits for private hospital room charges for the Gold and Silver Schemes, respectively.","Yes. The Agrahara scheme covers specialized surgeries including heart surgery, kidney transplant surgery, and brain surgery. For these major procedures, members submit a Guarantee Application Form in advance rather than a standard claim form. The scheme covers bypass operations, various operations, and other major surgical procedures. The President's Fund also provides additional grants for major surgeries such as CABG up to LKR 300,000.",Health_Agrahara
What is the process for a government employee to add a spouse to the Agrahara health insurance scheme?,"To add a spouse to the Agrahara health insurance scheme, a government employee should submit certified photocopies of the required documents, including those specified for married members. 
The key document required is a certified photocopy, as stated in the Semi Claim Form(e).pdf and Agrahara_Claim_Form(e).pdf, but the specific details for adding a spouse are not provided in the given context and need verification at ircsl.gov.lk.
According to the Semi Claim Form(e).pdf, when claiming for dependents, including a spouse, certified photocopies of certain documents should be submitted, and it is essential to mention the National Identity Card number when perfecting the deficiencies, as stated in the Semi Claim Form(e).pdf. 
Additionally, the Agrahara_Claim_Form(e).pdf emphasizes the importance of submitting the Claim Form by the patient member, and claims on behalf of dependents should be made by one of the member only, as stated in the Agrahara_Claim_Form(e).pdf.",Married Agrahara members automatically cover their spouse under the scheme as a dependent beneficiary. The spouse is included along with unmarried dependent children under 21 years and parents below 70 years of age. Members do not need to separately register their spouse. Claim forms include sections for dependent claims and require documentation such as marriage certificate confirming the relationship.,Health_Agrahara
Does the NITF motor insurance policy include third-party liability cover?,"The NITF motor insurance policy includes third-party liability cover. 
The key coverage detail is that the NITF will indemnify the insured against all sums which the insured shall become legally liable to pay in respect of third-party liability, as stated in the policy. 
According to the Motor_Insurance_Policy_EN.pdf document, specifically on page 4, section 3, and page 9, CLAUSE 2 – THIRD PARTY FIRE AND THEFT, the NITF will indemnify the insured in the event of an accident caused by or through or in connection with any Motor Vehicle described in the Schedule(s) against all sums including claimant’s costs and expenses which the insured shall become legally liable to pay (SOURCE: Motor_Insurance_Policy_EN.pdf).","Yes. The NITF Motor Vehicle Insurance Policy includes Third-Party Liability cover. Under the Motor Traffic Act, all motor vehicles used on public highways in Sri Lanka must have at minimum a third-party insurance policy. This covers legal liability for death or bodily injury caused to third parties. The Optional Compensation Scheme published by IRCSL on 26 February 2024 provides an additional out-of-court compensation mechanism for third-party victims of motor accidents.",Motor
What is the Optional Compensation Scheme for motor accident victims in Sri Lanka?,"The Optional Compensation Scheme for motor accident victims in Sri Lanka is available for third-party victims of motor vehicle accidents for death or permanent disability. The compensation amount is not specified in the provided sources, but the scheme is stipulated in Circular No: 03 of 2024 issued by the Insurance Regulatory Commission of Sri Lanka on 26.02.2024, as mentioned in the OCS-Circular-with-Application-and-Police-Report-English.pdf and OCS-Circular-with-Application-English-Version.pdf. According to the OCS-Circular-with-Application-and-Police-Report-English.pdf, any violation or breach of a clause or condition in the insurance policy of the motor vehicle which caused the accident will not hinder a third-party from obtaining compensation under this scheme, as per the instructions for applicants on page 10. For more details, it is recommended to visit www.ircsl.gov.lk, as mentioned in the OCS-Circular-with-Application-English-Version.pdf.",The IRCSL Optional Compensation Scheme (OCS) is an out-of-court compensation mechanism for third-party victims of motor vehicle accidents for death or permanent disability. It is paid by registered general insurance institutions on an ex-gratia basis without admitting legal liability. Any violation of the insurance policy does not prevent a third party from claiming under OCS. Documents including a police report must be submitted within 6 months from the date of the accident.,Motor
Which documents are mandatory to submit for an Agrahara accident claim?,"For an Agrahara accident claim, the mandatory documents to submit include certified copies of the National Identity Card of the Applicant and the victim of the accident, as well as a Police Report, which should be completed by the Police Station to which the accident was reported, as stated in the OCS-Circular-with-Application-and-Police-Report-English.pdf and OCS-Circular-with-Application-English-Version.pdf. 
The key documents are certified copies of the National Identity Card and the Police Report. 
According to the OCS-Circular-with-Application-and-Police-Report-English.pdf and OCS-Circular-with-Application-English-Version.pdf, these documents should be submitted to the respective Insurance Institution along with the application, with originals submitted where required, however, the exact coverage and limits for Agrahara claims need verification at ircsl.gov.lk as the provided context does not specify the coverage limits for Agrahara claims.","For an Agrahara accident claim, mandatory documents include: the completed Agrahara Accident Claim Application Form, medical certificates from the treating doctor, salary details for three months prior to the accident certified by the Accountant, and an Accountant's certificate confirming that insurance premiums have been paid continuously for three months before the accident. The claim application must be received by NITF within 90 days of reporting back to work after the accident.",Health_Agrahara
How can a policyholder contact IRCSL to resolve an insurance dispute?,"A policyholder can contact IRCSL to resolve an insurance dispute through dispute resolution by the IRCSL, as guided by the principles of enforcement, according to the Guidelines-on-Policy-Framework-for-General-Insurance-Products_Annex.pdf. 
The key detail is that dispute resolution by the IRCSL is an option available to policyholders, as stated in the Guidelines-on-Policy-Framework-for-General-Insurance-Products_Annex.pdf. 
Supporting this, the Circular-1-of-2026.pdf also outlines the procedures for enforcement, including the right to be heard and internal review mechanisms, which are applicable to insurers and brokers, and the IRCSL's role in dispute resolution is further emphasized in the Direction-4-of-2025.pdf, which provides direction on issuing Insurance Product Information Documents by insurance companies and insurance intermediaries, as per the Regulation of Insurance Industry Act, No. 43 of 2000.","Policyholders can contact the Insurance Regulatory Commission of Sri Lanka at: Level 11, East Tower, World Trade Centre, Colombo 01. Telephone: 011 2396184 to 9 for general inquiries and 011 2335167 for complaints. Fax: 011 2396190. Website: ircsl.gov.lk. IRCSL Direction 4 of 2025 also requires all insurance companies to state the Dispute Resolution Procedure in their Insurance Product Information Document, including the Insurance Ombudsman and IRCSL complaint channels.",Regulatory
What is the Suraksha student insurance scheme and who is eligible?,"+(94) 11- 278 5163
+(94) 11- 278 5164
+(94) 11- 278 5165
+(94) 11- 278 5166
+(94) 11- 278 5167
+(94) 11- 278 5168
+(94) 11- 278 5169
+(94) 11- 278 5170
+(94) 11- 278 5171
+(94) 11- 278 5172
+(94) 11- 278 5173
+(94) 11- 278 5174
+(94) 11- 278 5175
+(94) 11- 278 5176
+(94) 11- 278 5177
+(94) 11- 278 5178
+(94) 11- 278 5179
+(94) 11- 278 5180
+(94) 11- 278 5181
+(94) 11- 278 5182
+(94) 11- 278 5183
+(94) 11- 278 5184
+(94) 11- 278 5185
+(94) 11- 278 5186
+(94) 11- 278 5187
+(94) 11- 278 5188
+(94) 11- 278 5189
+(94) 11- 278 5190
+(94) 11- 278 5191
+(94) 11- 278 5192
+(94) 11- 278 5193
+(94) 11- 278 5194
+(94) 11- 278 5195
+(94) 11- 278 5196
+(94) 11- 278 5197
+(94) 11- 278 5198
+(94) 11- 278 5199
+(94) 11- 278 5200
+(94) 11- 278 5201
+(94) 11- 278 5202
+(94) 11- 278 5203
+(94) 11- 278 5204
+(94) 11- 278","The Suraksha Student Insurance Scheme is a free government insurance scheme provided by the Ministry of Education covering 4.5 million Sri Lankan school children aged 5 to 19. It covers students in government schools, government approved private schools, special education schools, international schools, and Pirivenas. The scheme has been in operation from 1st October 2017 and provides health benefits, accident covers, and special bonus allowances at no cost to students.",General
What are the hospitalization benefits under the Suraksha student insurance scheme?,"+(94) 11- 278 5163
+(94) 11- 278 5164
+(94) 11- 278 5165
+(94) 11- 278 5166
+(94) 11- 278 5167
+(94) 11- 278 5168
+(94) 11- 278 5169
+(94) 11- 278 5170
+(94) 11- 278 5171
+(94) 11- 278 5172
+(94) 11- 278 5173
+(94) 11- 278 5174
+(94) 11- 278 5175
+(94) 11- 278 5176
+(94) 11- 278 5177
+(94) 11- 278 5178
+(94) 11- 278 5179
+(94) 11- 278 5180
+(94) 11- 278 5181
+(94) 11- 278 5182
+(94) 11- 278 5183
+(94) 11- 278 5184
+(94) 11- 278 5185
+(94) 11- 278 5186
+(94) 11- 278 5187
+(94) 11- 278 5188
+(94) 11- 278 5189
+(94) 11- 278 5190
+(94) 11- 278 5191
+(94) 11- 278 5192
+(94) 11- 278 5193
+(94) 11- 278 5194
+(94) 11- 278 5195
+(94) 11- 278 5196
+(94) 11- 278 5197
+(94) 11- 278 5198
+(94) 11- 278 5199
+(94) 11- 278 5200
+(94) 11- 278 5201
+(94) 11- 278 5202
+(94) 11- 278 5203
+(94) 11- 278 5204
+(94) 11- 278","Under the Suraksha Student Insurance Scheme, the annual insurance cover for hospitalization is LKR 200,000 per individual. For private hospitals and paying wards of government hospitals, room charges are covered up to LKR 5,000 per day with an annual limit of LKR 60,000 and a maximum of LKR 30,000 per admission. Surgeon and specialist fees are covered up to LKR 30,000 per occasion with an annual limit of LKR 60,000. Other hospital services have an annual limit of LKR 80,000.",General
What does IRCSL Direction 4 of 2025 require from insurance companies?,"IRCSL Direction 4 of 2025 requires insurance companies to issue an Insurance Product Information Document. 
The key requirement is that this direction is issued in terms of Section 96A of the Regulation of Insurance Industry Act, No 43 of 2000, and it cancels the previous ""Direction No. 06 of 2024 dated 24th September 2024 on issuing Insurance Product Information Document by Insurers, Insurance Intermediaries"", as stated in Direction-4-of-2025.pdf. 
According to Direction-4-of-2025.pdf, this direction applies to insurance companies and insurance intermediaries, and it was decided at the 266th Commission meeting of the Insurance Regulatory Commission of Sri Lanka (IRCSL).",IRCSL Direction No. 4 of 2025 dated 28 October 2025 requires all insurance companies and insurance intermediaries to issue an Insurance Product Information Document (IPID) containing key features of the policy in simple language. The direction promotes transparency and policyholder awareness. It is issued under Section 3 and Section 37(2) of the Regulation of Insurance Industry Act No. 43 of 2000 and applies to both life and general insurance products including renewals.,Regulatory
What is the minimum age requirement for driving a light vehicle in Sri Lanka?,"The minimum age requirement for driving a light vehicle in Sri Lanka is not explicitly stated in the provided documents. 
The key detail for determining the minimum age is not available in the given context, however, it can be verified at ircsl.gov.lk or other relevant sources. 
According to general knowledge of Sri Lankan motor traffic regulations, the minimum age requirement is typically 18 years for a light vehicle, but this information is not present in the provided documents, such as 2338-39_E.pdf, 6132.pdf, OCS-Circular-with-Application-and-Police-Report-English.pdf, or OCS-Circular-with-Application-English-Version.pdf. 
To confirm the exact minimum age requirement, it is recommended to visit the Insurance Regulatory Commission of Sri Lanka website, www.ircsl.gov.lk, or consult the Motor Traffic Act (Chapter 203).","Under the Motor Traffic Amendment Act No. 10 of 2019, which amends Section 123 of the Motor Traffic Act Chapter 203, no person shall drive a light vehicle on a road unless they have completed 18 years of age. No person shall drive a heavy vehicle on a road unless they have completed 21 years of age. Violation carries a fine of not less than LKR 25,000 and not exceeding LKR 30,000 for the first offence.",Motor
What is the NITF Agrahara scheme and when was it introduced?,"The NITF Agrahara scheme is a health insurance scheme provided by the National Insurance Trust Fund, with various types of benefits including medical, accidents, and death claims. 
The maximum amount per case, duration, rate per date, limit per year, and limit per lifetime vary depending on the specific scheme, such as the Agrahara Government Silver Scheme, Agrahara Government Gold Scheme, and Agrahara Government Normal Scheme, with details available in documents such as agrahara-silver.pdf, agrahara.pdf, agrahara gold.pdf, and agrahara gov-normal.pdf. 
According to the National Insurance Trust Fund documents, including agrahara-silver.pdf, agrahara.pdf, agrahara gold.pdf, and agrahara gov-normal.pdf, the NITF serves nearly 1 million government servants and over 3 million of their dependants, but the exact introduction date of the NITF Agrahara scheme is not specified in the provided documents and needs verification at ircsl.gov.lk.","The Agrahara Insurance Scheme was introduced by the Ministry of Public Administration Circular No. 5 of 1997 and came under the National Insurance Trust Fund from 1st January 2006. The scheme covers nearly 1 million government servants and over 3 million of their dependants. NITF pays for all medical claims including hospitalizations, childbirth, various operations, bypass operations, spectacles, accidents, and death claims submitted by government servants and their eligible dependants.",Health_Agrahara
Does the Agrahara scheme cover treatment received at hospitals in India or other foreign countries?,"The Agrahara scheme does not explicitly state that it covers treatment received at hospitals in India or other foreign countries. 
The key detail to note is that the scheme is designed for medical insurance, but the coverage area is not specified in the provided documents. 
According to the National Insurance Trust Fund -agrahara.pdf, the main idea of the Agrahara medical insurance scheme is not clearly defined in terms of geographical coverage, and for verification of coverage in foreign countries, it is recommended to check the official website www.nitf.lk or contact the National Insurance Trust Fund directly, as stated in the Semi Claim Form(e).pdf, which provides the contact information: Telephone: +94 112 026 600, Fax: +94 112 323 006, Email: manageragrahara@nitf.lk.","The current Agrahara scheme documentation does not mention any coverage for treatment received at foreign hospitals in India or any other country. The scheme covers treatment at registered hospitals within Sri Lanka only, including government hospitals and approved private hospitals on the NITF registered hospital list. Foreign hospital coverage is not available under the Agrahara scheme based on available official documents.",Negative_Test
What is the exact premium rate for a 45-year-old government employee under the Agrahara Gold scheme?,"The exact premium rate for a 45-year-old government employee under the Agrahara Gold scheme is not provided in the given context. 
The maximum amount per case for private hospital room charges under the Agrahara Government Gold Scheme is LKR 80,000.00, with a rate of LKR 8,000.00 per day, as stated in the National Insurance Trust Fund agrahara gold.pdf document. 
According to the National Insurance Trust Fund agrahara gold.pdf, the Agrahara Government Gold Scheme has a limit of LKR 350,000.00 per year, but the premium rate is not specified, and verification at ircsl.gov.lk may be necessary to determine the exact premium rate for a 45-year-old government employee.",The current Agrahara scheme documentation does not specify individual premium rates based on age. The Agrahara scheme is a group insurance scheme where premiums are deducted from salary as a fixed contribution. Age-based individual premium tables are not published in the available NITF official documents. This information would need to be verified directly with NITF or the relevant government ministry.,Negative_Test
Does the Agrahara insurance scheme cover dental implants or cosmetic surgery procedures?,"The Agrahara insurance scheme does not explicitly mention coverage for dental implants or cosmetic surgery procedures in the provided sources. 
The key detail to note is that the main idea of the Agrahara medical insurance scheme is to provide medical insurance, but specific coverage details for dental implants or cosmetic surgery are not mentioned. 
According to the National Insurance Trust Fund -agrahara.pdf, the Agrahara Insurance scheme was introduced by the Ministry of Public Administration Circular No: 5 /1997, but it does not provide information on dental implants or cosmetic surgery coverage, as per the sources Semi Claim Form(e).pdf, National Insurance Trust Fund -agrahara.pdf, National Insurance Trust Fund agrahara gold.pdf, National Insurance Trust Fund agrahara-silver.pdf, and National Insurance Trust Fund pension.pdf, which need to be verified at ircsl.gov.lk for more detailed information on specific coverage.","The current Agrahara scheme documentation does not mention coverage for dental implants or cosmetic surgery. The scheme covers hospitalizations, childbirth, various operations including bypass operations, spectacles, accidents, and death claims. Cosmetic procedures and dental implants are not listed as covered benefits in the available NITF Agrahara documents. This should be verified directly with NITF at nitf.lk.",Negative_Test
What is the specific no-claim bonus percentage for NITF motor insurance after three consecutive claim-free years?,"The specific no-claim bonus percentage for NITF motor insurance after three consecutive claim-free years is not explicitly stated in the provided context. 
The no-claim bonus percentage after twelve consecutive claim-free years is 70%, as stated in the Motor_Insurance_Policy_EN.pdf document. 
According to the Motor_Insurance_Policy_EN.pdf, if the insured is enjoying a no-claim bonus entitlement of above 70% for five consecutive years at the time of the accident, the no-claim bonus will be reduced only by the immediate three entitlements at next renewal, but the exact percentage for three consecutive claim-free years needs verification at ircsl.gov.lk.","The available NITF Motor Vehicle Insurance Policy document does not specify the exact no-claim bonus percentage applicable after three consecutive claim-free years. While the policy provides for a no-claim bonus as a discount on renewal premium, the specific percentage table is not included in the publicly available policy document. This information must be obtained directly from NITF Motor Department at their office at No. 95, Sir Chittampalam A Gardiner Mawatha, Colombo 02.",Negative_Test
Can a private sector employee in Sri Lanka voluntarily join the Agrahara government health insurance scheme?,"A private sector employee in Sri Lanka cannot voluntarily join the Agrahara government health insurance scheme as the scheme is specifically designed for government employees and pensioners. 
The key detail is that the Agrahara Insurance Scheme is introduced by the Ministry of Public Administration Circular No: 5/1997, which implies it is primarily for government sector employees, as stated in the National Insurance Trust Fund -agrahara.pdf and National Insurance Trust Fund agrahara gold.pdf documents. 
According to the National Insurance Trust Fund -agrahara.pdf, the Agrahara Insurance scheme was under the National Insurance Trust Fund from 1st of January 2006, and its main idea is to provide medical insurance, but it does not mention private sector employees being eligible to join voluntarily, as per the source documents provided, including Pension Claim Form(e).pdf and Semi Claim Form(e).pdf.",The current Agrahara scheme documentation does not provide for voluntary membership by private sector employees. The scheme was introduced under Ministry of Public Administration Circular No. 5 of 1997 specifically for government servants and their dependants. The SEMI scheme covers semi-government institution employees. Private sector employees are not eligible for Agrahara and must seek coverage through private health insurance or NITF commercial products.,Negative_Test
What is the main objective of the Regulation of Insurance Industry Act No. 43 of 2000?,"The main objective of the Regulation of Insurance Industry Act No. 43 of 2000 is to ensure that the terms of the contract of insurance are fair and equitable, as stated in the Guidelines-on-Policy-Framework-for-General-Insurance-Products_Annex.pdf. 
The key aspect of this act is to empower the Insurance Regulatory Commission of Sri Lanka (IRCSL) to direct amendments to any policy form, with the aim of protecting the interests of policyholders. 
According to the Guidelines-on-Policy-Framework-for-General-Insurance-Products_Annex.pdf, this guideline is issued pursuant to Section 37 (2) of the Regulation of Insurance Industry Act, No.43 of 2000, and the IRCSL is empowered in terms of Section 37 of the RII Act to direct amendments to any policy form. 
Additionally, Circular-1-of-2026.pdf and Direction-4-of-2025.pdf also reference the Regulation of Insurance Industry Act, No. 43 of 2000, highlighting its importance in regulating the insurance industry in Sri Lanka.","The main objective of the Regulation of Insurance Industry Act No. 43 of 2000 is to ensure that insurance business in Sri Lanka is carried on with integrity and in a professional manner, to safeguard the interests of policyholders and potential policyholders, and to establish the Insurance Regulatory Commission of Sri Lanka (IRCSL).",Regulatory
What are the standard coverage components of a basic Suraksha health insurance plan?,"The standard coverage components of a basic Suraksha health insurance plan are not specified in the provided documents, as the documents primarily focus on the Agrahara and SEMI schemes under the National Insurance Trust Fund. 
The key coverage details for the Agrahara Government Normal Scheme include a maximum amount of Rs. 30,000.00 for private hospital room charges, with a duration of 10 days and a rate of Rs. 3,000.00 per day, as stated in the National Insurance Trust Fund- agrahara gov-normal.pdf document. 
According to the National Insurance Trust Fund pension.pdf, the limit per year for private hospital surgical and medical treatment is Rs. 50,000.00, and for private hospital consultation fees, it is Rs. 20,000.00. 
For more detailed information on Suraksha health insurance plans, it is recommended to verify the details at ircsl.gov.lk or consult the National Insurance Trust Fund's official website.","The basic Suraksha insurance plan covers school children against hospitalization up to LKR 200,000, personal accident benefits for the student, death benefits in case of a parent's demise (LKR 75,000), and critical illness grants.",General
