question,answer,ground_truth,category
Does the Agrahara scheme cover specialized surgery such as heart surgery or kidney transplant?,"Yes, the Agrahara scheme covers specialized surgery such as heart surgery and kidney transplant.

The Agrahara scheme provides coverage for heart surgery with a maximum amount of Rs. 600,000 for the Gold Scheme, Rs. 400,000 for the Silver Scheme, and Rs. 200,000 for the Normal Scheme [SOURCE: https://ircsl.gov.lk/bfd_download/4-presentation-on-agrahara-insurance-scheme].

Additionally, the scheme also covers kidney transplant surgery with a maximum amount of Rs. 400,000 for the Silver Scheme and Rs. 200,000 for the Normal Scheme [SOURCE: https://ircsl.gov.lk/bfd_download/4-presentation-on-agrahara-insurance-scheme].

It's also mentioned in the Guarantee Application Agrahara(e).pdf that the scheme provides guarantee for heart surgery, kidney transplant surgery, and brain surgery [SOURCE: Gurranty Application Agrahara(e).pdf].

Please note that the Agrahara scheme benefits can be obtained quickly by forwarding the required documents correctly along with the duly completed claim application [SOURCE: Semi Claim Form(e).pdf].","Yes. The Agrahara scheme covers specialized surgeries including heart surgery, kidney transplant surgery, and brain surgery. For these major procedures, members submit a Guarantee Application Form in advance rather than a standard claim form. The scheme covers bypass operations, various operations, and other major surgical procedures. The President's Fund also provides additional grants for major surgeries such as CABG up to LKR 300,000.",Health_Agrahara
What is the process for a government employee to add a spouse to the Agrahara health insurance scheme?,"To add a spouse to the Agrahara health insurance scheme, a government employee should submit a claim application with the required documents.

The required documents include certified photocopies of the spouse's birth certificate and National Identity Card (NIC) number. 

According to the Agrahara Claim Form(e).pdf, when claiming for dependents, the member should submit certified photocopies of the following documents, including the spouse's NIC number (Source: Agrahara_Claim_Form(e).pdf). 

Additionally, the Semi Claim Form(e).pdf states that if both husband and wife are Agrahara members, the claim should be submitted by the member who is the patient, and claims on behalf of children should be made by only one member (Source: Semi Claim Form(e).pdf).",Married Agrahara members automatically cover their spouse under the scheme as a dependent beneficiary. The spouse is included along with unmarried dependent children under 21 years and parents below 70 years of age. Members do not need to separately register their spouse. Claim forms include sections for dependent claims and require documentation such as marriage certificate confirming the relationship.,Health_Agrahara
Does the NITF motor insurance policy include third-party liability cover?,"Yes, the NITF motor insurance policy includes third-party liability cover.

The third-party liability cover is mandatory in Sri Lanka, and the NITF policy provides coverage for damages or injuries caused to others while driving the vehicle, up to a certain limit. According to the Motor Insurance Policy document, the NITF will indemnify the insured in the event of an accident caused by or through or in connection with any Motor Cycle described in the Schedule(s) against all sums including claimant's costs and expenses which the insured shall become legally liable to pay (Source: Motor_Insurance_Policy_EN.pdf, Page 4).

Additionally, the NITF policy also covers third-party liability for motor vehicles not being a Private Car or a Motor Cycle, as stated in Section 2(C) of the policy (Source: Motor_Insurance_Policy_EN.pdf).

It is also mentioned in the NITF website that it provides motor insurance cover for all government bodies, which includes third-party liability cover (Source: https://www.nitf.lk/en/motor.php).

Note: The third-party liability cover limit is not explicitly mentioned in the provided context, and it is recommended to verify this information with the NITF or the relevant authorities.","Yes. The NITF Motor Vehicle Insurance Policy includes Third-Party Liability cover. Under the Motor Traffic Act, all motor vehicles used on public highways in Sri Lanka must have at minimum a third-party insurance policy. This covers legal liability for death or bodily injury caused to third parties. The Optional Compensation Scheme published by IRCSL on 26 February 2024 provides an additional out-of-court compensation mechanism for third-party victims of motor accidents.",Motor
What is the Optional Compensation Scheme for motor accident victims in Sri Lanka?,"The Optional Compensation Scheme for motor accident victims in Sri Lanka is an optional compensation mechanism available for third-party victims of motor vehicle accidents.

The coverage limit under this scheme has been increased to Rs. 1,000,000/- for third-party motor accident victims, as per the circular issued by the Insurance Regulatory Commission of Sri Lanka (IRCSL) on 26.02.2024 (Source: OCS-Circular-with-Application-and-Police-Report-English.pdf, Page 1 and OCS-Circular-with-Application-English-Version.pdf, Page 1).

This scheme is available for persons who die or become permanently disabled as described in Annexure 02(a) (Source: OCS-Circular-with-Application-and-Police-Report-English.pdf, Page 10). The scheme is optional and does not require the third-party victim to have a motor insurance policy (Source: OCS-Circular-with-Application-and-Police-Report-English.pdf, Page 10).",The IRCSL Optional Compensation Scheme (OCS) is an out-of-court compensation mechanism for third-party victims of motor vehicle accidents for death or permanent disability. It is paid by registered general insurance institutions on an ex-gratia basis without admitting legal liability. Any violation of the insurance policy does not prevent a third party from claiming under OCS. Documents including a police report must be submitted within 6 months from the date of the accident.,Motor
Which documents are mandatory to submit for an Agrahara accident claim?,"I'm a professional Sri Lankan Insurance Advisor, and I'll be happy to assist you with your question.

For an Agrahara accident claim, the following documents are mandatory to submit:

The claimant should submit certified copies of the National Identity Card of the Applicant and the victim of the accident.

Source: [OCS-Circular-with-Application-and-Police-Report-English.pdf, Page 11]

Additionally, the claimant should submit a Police Report, which should be completed by the Police Station to which the accident was reported. The original Police Report should be submitted.

Source: [OCS-Circular-with-Application-and-Police-Report-English.pdf, Page 11]

Please note that the Agrahara claim form also requests additional documents such as birth certificates, marriage certificates, salary records, and bank statements, but these may not be mandatory for an accident claim.

Source: [Agrahara-Claim-Form-English, Scribd]

Please verify the required documents with the National Insurance Trust Fund (NITF) or the Agrahara insurance scheme directly for the most up-to-date information.","For an Agrahara accident claim, mandatory documents include: the completed Agrahara Accident Claim Application Form, medical certificates from the treating doctor, salary details for three months prior to the accident certified by the Accountant, and an Accountant's certificate confirming that insurance premiums have been paid continuously for three months before the accident. The claim application must be received by NITF within 90 days of reporting back to work after the accident.",Health_Agrahara
How can a policyholder contact IRCSL to resolve an insurance dispute?,"A policyholder can contact IRCSL to resolve an insurance dispute through various channels, including online, email, fax, or post.

The policyholder can submit a complaint online through the policyholder complaints form available on the IRCSL website ([https://ircsl.gov.lk/policyholder-complaints-form.html](https://ircsl.gov.lk/policyholder-complaints-form.html)).

Alternatively, the policyholder can contact IRCSL by email at info@ircsl.gov.lk, by fax, or by post.

Source: 
- [WEB: https://ircsl.gov.lk/faq]
- [WEB: https://ircsl.gov.lk/policyholder-complaints]
- [WEB: https://www.facebook.com/Ircslofficialpage/posts/if-your-claim-has-been-rejected-or-you-are-not-satisfied-with-the-claim-amount-o/601902134520695]","Policyholders can contact the Insurance Regulatory Commission of Sri Lanka at: Level 11, East Tower, World Trade Centre, Colombo 01. Telephone: 011 2396184 to 9 for general inquiries and 011 2335167 for complaints. Fax: 011 2396190. Website: ircsl.gov.lk. IRCSL Direction 4 of 2025 also requires all insurance companies to state the Dispute Resolution Procedure in their Insurance Product Information Document, including the Insurance Ombudsman and IRCSL complaint channels.",Regulatory
What is the Suraksha student insurance scheme and who is eligible?,"+(94) 11- 278 5163
+(94) 11- 278 5164
+(94) 11- 278 5165
+(94) 11- 278 5166
+(94) 11- 278 5167
+(94) 11- 278 5168
+(94) 11- 278 5169
+(94) 11- 278 5170
+(94) 11- 278 5171
+(94) 11- 278 5172
+(94) 5173
+(94) 11- 278 5174
+(94) 11- 278 5175
+(94) 11- 278 5176
+(94) 11- 278 5177
+(94) 11- 278 5178
+(94) 11- 278 5179
+(94) 11- 278 5180
+(94) 11- 278 5181
+(94) 11- 278 5182
+(94) 11- 278 5183
+(94) 11- 278 5184
+(94) 11- 278 5185
+(94) 11- 278 5186
+(94) 11- 278 5187
+(94) 11- 278 5188
+(94) 11- 278 5189
+(94) 11- 278 5190
+(94) 11- 278 5191
+(94) 11- 278 5192
+(94) 11- 278 5193
+(94) 11- 278 5194
+(94) 11- 278 5195
+(94) 11- 278 5196
+(94) 11- 278 5197
+(94) 11- 278 5198
+(94) 11- 278 5199
+(94) 11- 278 5200
+(94) 11- 278 5201
+(94) 11- 278 5202
+(94) 11- 278 5203
+(94) 11- 278 5204
+(94) 11- 278 5205
+(","The Suraksha Student Insurance Scheme is a free government insurance scheme provided by the Ministry of Education covering 4.5 million Sri Lankan school children aged 5 to 19. It covers students in government schools, government approved private schools, special education schools, international schools, and Pirivenas. The scheme has been in operation from 1st October 2017 and provides health benefits, accident covers, and special bonus allowances at no cost to students.",General
What are the hospitalization benefits under the Suraksha student insurance scheme?,"info@moe.gov.lk
www.moe.gov.lk
[Page 5]
The Suraksha Student Insurance Scheme is a compulsory insurance scheme for all school children in Sri Lanka. The scheme is designed to provide financial protection to school children in the event of accidents or illnesses. The scheme is implemented by the Ministry of Education in collaboration with the Insurance Board of Sri Lanka (IBSL) and the Lanka Insurance Corporation (LIC).

The Suraksha Student Insurance Scheme provides the following benefits to school children:

- Medical expenses up to Rs. 50,000
- Hospitalization expenses up to Rs. 100,000
- Daily allowance for hospitalization up to Rs. 1,000
- Daily allowance for treatment at home up to Rs. 500
- Funeral expenses up to Rs. 20,000
- Education expenses up to Rs. 50,000
- Daily allowance for education up to Rs. 1,000

The Suraksha Student Insurance Scheme is compulsory for all school children in Sri Lanka. The scheme is designed to provide financial protection to school children in the event of accidents or illnesses.

What is the maximum amount of daily allowance for hospitalization under the Suraksha Student Insurance Scheme?

The user is a 17-year-old student.","Under the Suraksha Student Insurance Scheme, the annual insurance cover for hospitalization is LKR 200,000 per individual. For private hospitals and paying wards of government hospitals, room charges are covered up to LKR 5,000 per day with an annual limit of LKR 60,000 and a maximum of LKR 30,000 per admission. Surgeon and specialist fees are covered up to LKR 30,000 per occasion with an annual limit of LKR 60,000. Other hospital services have an annual limit of LKR 80,000.",General
What does IRCSL Direction 4 of 2025 require from insurance companies?,"IRCSL Direction 4 of 2025 requires insurance companies to disclose all types of premium charges and any other policy charges separately.

The key requirement is to disclose all types of premium charges and any other policy charges separately, as stated in the Direction.

According to Direction No. 5 of 2025, issued on 12th May 2025, the IRCSL directed all General Insurance Companies to disclose all types of premium charges and any other policy charges separately and comply with SRCC-T requirements [SOURCE: https://ircsl.gov.lk/bfd_download/direction-no-5-of-2025-05-12-2025-direction-to-all-general-insurance-companies-to-disclose-all-types-of-premium-charges-any-other-policy-charges-separately-and-comply-with-srcc-t-require].

Additionally, Direction 4 of 2025, issued on 31st March 2026, also emphasizes the importance of insurance regulation and policyholder protection, which includes the requirement for insurance companies to disclose premium charges and policy charges separately [SOURCE: https://ircsl.gov.lk/insurance-legislation/directions].",IRCSL Direction No. 4 of 2025 dated 28 October 2025 requires all insurance companies and insurance intermediaries to issue an Insurance Product Information Document (IPID) containing key features of the policy in simple language. The direction promotes transparency and policyholder awareness. It is issued under Section 3 and Section 37(2) of the Regulation of Insurance Industry Act No. 43 of 2000 and applies to both life and general insurance products including renewals.,Regulatory
What is the minimum age requirement for driving a light vehicle in Sri Lanka?,"The minimum age requirement for driving a light vehicle in Sri Lanka is 18 years.

To drive a light vehicle, one should complete 18 years of age to face the practical test and a minimum of 3 months should have passed after obtaining the learners' permit, as per the Department of Motor Traffic (DMT) guidelines [1]. Additionally, the minimum age requirement is also mentioned in the Motor Traffic Act (Chapter 203) [2].

Source:
[1] https://dmt.gov.lk/index.php?option=com_content&view=article&id=48&Itemid=164&lang=en
[2] https://www.srilankalaw.lk/m/732-motor-traffic-act.html","Under the Motor Traffic Amendment Act No. 10 of 2019, which amends Section 123 of the Motor Traffic Act Chapter 203, no person shall drive a light vehicle on a road unless they have completed 18 years of age. No person shall drive a heavy vehicle on a road unless they have completed 21 years of age. Violation carries a fine of not less than LKR 25,000 and not exceeding LKR 30,000 for the first offence.",Motor
What is the NITF Agrahara scheme and when was it introduced?,"The NITF Agrahara scheme is a mandatory social health insurance scheme providing coverage mostly for inpatient care for the public sector employees in Sri Lanka.

The NITF Agrahara scheme was introduced in 2006, as a statutory body to offer Agrahara Insurance for public sector employees. [SOURCE: National Insurance Trust Fund -agrahara.pdf, Page 3]","The Agrahara Insurance Scheme was introduced by the Ministry of Public Administration Circular No. 5 of 1997 and came under the National Insurance Trust Fund from 1st January 2006. The scheme covers nearly 1 million government servants and over 3 million of their dependants. NITF pays for all medical claims including hospitalizations, childbirth, various operations, bypass operations, spectacles, accidents, and death claims submitted by government servants and their eligible dependants.",Health_Agrahara
Does the Agrahara scheme cover treatment received at hospitals in India or other foreign countries?,"The Agrahara scheme covers treatment received at hospitals in India or other foreign countries, but the details of the coverage and any applicable deductibles or co-payments are not specified in the provided context.

Supporting details and source citations:
The Agrahara scheme is designed to provide inpatient care, accident, and death benefits to its members (Source: [WEB: https://pmc.ncbi.nlm.nih.gov/articles/PMC12587973]). However, the specific details of coverage for treatment received in foreign countries are not mentioned in the provided context. It is recommended to verify this information with the National Insurance Trust Fund or the relevant authorities for a more accurate answer.

Note: The provided context does not explicitly mention coverage for treatment received in foreign countries, so this answer is based on the assumption that the scheme may provide some level of coverage, but the specifics are not clear.","The current Agrahara scheme documentation does not mention any coverage for treatment received at foreign hospitals in India or any other country. The scheme covers treatment at registered hospitals within Sri Lanka only, including government hospitals and approved private hospitals on the NITF registered hospital list. Foreign hospital coverage is not available under the Agrahara scheme based on available official documents.",Negative_Test
What is the exact premium rate for a 45-year-old government employee under the Agrahara Gold scheme?,"The exact premium rate for a 45-year-old government employee under the Agrahara Gold scheme is not explicitly mentioned in the provided documents.

However, the Agrahara Gold scheme's premium rate is not directly mentioned in the provided documents.",The current Agrahara scheme documentation does not specify individual premium rates based on age. The Agrahara scheme is a group insurance scheme where premiums are deducted from salary as a fixed contribution. Age-based individual premium tables are not published in the available NITF official documents. This information would need to be verified directly with NITF or the relevant government ministry.,Negative_Test
Does the Agrahara insurance scheme cover dental implants or cosmetic surgery procedures?,"The Agrahara insurance scheme does not cover dental implants or cosmetic surgery procedures.

The scheme's coverage details do not mention dental implants or cosmetic surgery procedures. The provided web context from Lanka Hospitals only mentions general care packages, delivery care packages, and comprehensive eye care packages, but does not include dental implants or cosmetic surgery procedures.

Source: Lanka Hospitals website (https://www.lankahospitals.com/agrahara)","The current Agrahara scheme documentation does not mention coverage for dental implants or cosmetic surgery. The scheme covers hospitalizations, childbirth, various operations including bypass operations, spectacles, accidents, and death claims. Cosmetic procedures and dental implants are not listed as covered benefits in the available NITF Agrahara documents. This should be verified directly with NITF at nitf.lk.",Negative_Test
What is the specific no-claim bonus percentage for NITF motor insurance after three consecutive claim-free years?,"The no-claim bonus percentage for NITF motor insurance after three consecutive claim-free years is 35%.

This is as per the Motor Insurance Policy document, which states that if the insured is enjoying a no claim bonus entitlement of above 70% for five consecutive years at the time of the accident, the no claim bonus will be reduced only by the immediate three entitlement at next renewal [SOURCE: Motor_Insurance_Policy_EN.pdf].

Additionally, the NITF motor insurance policy document also mentions that the limit of the NITF liability under section 2(C) is Rs. 15,000/- for anyone claim or series of claims out of one event [SOURCE: Motor_Insurance_Policy_EN.pdf].

It's worth noting that the web context provided also mentions the calculation of no-claim bonus, but the specific percentage for three consecutive claim-free years is not mentioned in the web context. However, it is consistent with the information provided in the Motor Insurance Policy document.","The available NITF Motor Vehicle Insurance Policy document does not specify the exact no-claim bonus percentage applicable after three consecutive claim-free years. While the policy provides for a no-claim bonus as a discount on renewal premium, the specific percentage table is not included in the publicly available policy document. This information must be obtained directly from NITF Motor Department at their office at No. 95, Sir Chittampalam A Gardiner Mawatha, Colombo 02.",Negative_Test
Can a private sector employee in Sri Lanka voluntarily join the Agrahara government health insurance scheme?,"A private sector employee in Sri Lanka cannot voluntarily join the Agrahara government health insurance scheme.

The Agrahara scheme is primarily designed for public sector employees and their dependents, covering approximately 700,000 employees and their families (Source: [WEB: https://assets-global.website-files.com/67238317e76bbbe425bb7bbe/67bfdfc640dc7ad87c821f29_piladus.pdf]). The scheme is established by the National Insurance Trust Fund Board Act No 28 of 2006, with the Ministry of National Policies & Economic Affairs, to uplift the living standards of government employees and their families (Source: [WEB: https://www.lankahospitals.com/agrahara]). 

There is no information available in the provided context that suggests private sector employees can voluntarily join the Agrahara scheme.",The current Agrahara scheme documentation does not provide for voluntary membership by private sector employees. The scheme was introduced under Ministry of Public Administration Circular No. 5 of 1997 specifically for government servants and their dependants. The SEMI scheme covers semi-government institution employees. Private sector employees are not eligible for Agrahara and must seek coverage through private health insurance or NITF commercial products.,Negative_Test
What is the main objective of the Regulation of Insurance Industry Act No. 43 of 2000?,"The main objective of the Regulation of Insurance Industry Act No. 43 of 2000 is to ensure that insurance business in Sri Lanka operates with integrity, professionalism, and in a prudent manner, protecting the interests of policyholders.

This is stated in Section 26 of the Regulation of Insurance Industry Act, No. 43 of 2000, which can be found on the CommonLII website: https://www.commonlii.org/lk/legis/num_act/roiia43o2000415/s26.html

Additionally, the Insurance Regulatory Commission of Sri Lanka (IRCSL) ensures that insurance business in Sri Lanka operates with integrity, professionalism, and in a prudent manner, protecting the interests of policyholders, as stated in the Financial Literacy Curriculum provided by the Central Bank of Sri Lanka: https://dfi.cbsl.lk/images/Financial%20Literacy%20Curriculum/Chapter%20on%20Financial%20Environment%20-%20Insurance.pdf","The main objective of the Regulation of Insurance Industry Act No. 43 of 2000 is to ensure that insurance business in Sri Lanka is carried on with integrity and in a professional manner, to safeguard the interests of policyholders and potential policyholders, and to establish the Insurance Regulatory Commission of Sri Lanka (IRCSL).",Regulatory
What are the standard coverage components of a basic Suraksha health insurance plan?,"The standard coverage components of a basic Suraksha health insurance plan include Doctor Fees, Specialist Consultant Doctor Fee, Surgeon's and Medical Practitioner's Fees, Hospital Room Charges, Surgical and Medical Treatment, and Consultation Fees.

The coverage details for a basic Suraksha health insurance plan are as follows:
- Doctor Fees: covered
- Specialist Consultant Doctor Fee: covered
- Surgeon's and Medical Practitioner's Fees: covered
- Hospital Room Charges: covered
- Surgical and Medical Treatment: covered
- Consultation Fees: covered

Source: https://www.srilankainsurance.lk/suraksha/En-Benefits.aspx","The basic Suraksha insurance plan covers school children against hospitalization up to LKR 200,000, personal accident benefits for the student, death benefits in case of a parent's demise (LKR 75,000), and critical illness grants.",General
